room type,Average of price,neighbourhood group
Hotel room,736.125,Brooklyn
Shared room,715.6,Staten Island
Hotel room,681.87,Manhattan
Shared room,645.3066298342542,Queens
Entire home/apt,642.1566871155978,Staten Island
Private room,634.6866362181651,Bronx
Shared room,634.262240562384,Brooklyn
Shared room,632.4981356983244,Manhattan
Private room,631.7971092576271,Queens
Entire home/apt,627.025943646777,Queens
Entire home/apt,626.8658885317125,Brooklyn
Private room,625.8579745583255,Brooklyn
Entire home/apt,623.1185029614663,Manhattan
Private room,620.3772570196659,Manhattan
Entire home/apt,620.2473670042859,Bronx
Private room,603.5934321579116,Staten Island
Shared room,600.2564102564103,Bronx
Hotel room,433.25,Queens
