neighbourhood group,Average of review rate number,room type
Brooklyn,3.75,Hotel room
Queens,3.75,Hotel room
Staten Island,3.53,Shared room
Manhattan,3.50,Hotel room
Staten Island,3.48,Private room
Queens,3.38,Shared room
Queens,3.35,Entire home/apt
Bronx,3.34,Entire home/apt
Brooklyn,3.34,Shared room
Bronx,3.33,Private room
Staten Island,3.33,Entire home/apt
Queens,3.31,Private room
Manhattan,3.28,Private room
Manhattan,3.27,Entire home/apt
Bronx,3.26,Shared room
Brooklyn,3.26,Private room
Manhattan,3.26,Shared room
Brooklyn,3.25,Entire home/apt
